Id,Description,Source
bunyan,A CLI to pretty print structured logs. A Rust port of the original JavaScript bunyan CLI.,https://crates.io/crates/bunyan
cargo-audit,Audit Cargo.lock for crates with security vulnerabilities,https://crates.io/crates/cargo-audit
cargo-expand,Wrapper around rustc -Zunpretty=expanded. Shows the result of macro expansion and #[derive] expansion.,https://crates.io/crates/cargo-expand
cargo-udeps,Find unused dependencies in Cargo.toml,https://crates.io/crates/cargo-udeps
cargo-update,A cargo subcommand for checking and applying updates to installed executables,https://crates.io/crates/cargo-update
cargo-watch,Watches over your Cargo project’s source,https://crates.io/crates/cargo-watch
hl,A fast and powerful log viewer and processor that translates JSON logs or logfmt logs into a pretty human-readable format.,https://github.com/pamburus/hl.git
mergiraf,A syntax-aware merge driver for Git,https://crates.io/crates/mergiraf
rustlings,Small exercises to get you used to reading and writing Rust code!,https://crates.io/crates/rustlings
sqlx-cli,"Command-line utility for SQLx, the Rust SQL toolkit.",https://crates.io/crates/sqlx-cli
tabiew,"A lightweight TUI application to view and query tabular data files, such as CSV, TSV, and parquet.",https://crates.io/crates/tabiew
taplo-cli,A CLI for Taplo TOML toolkit,https://crates.io/crates/taplo-cli
tealdeer,Fetch and show tldr help pages for many CLI commands. Full featured offline client with caching support.,https://crates.io/crates/tealdeer
typos-cli,Source Code Spelling Correction,https://crates.io/crates/typos-cli
xsv,A high performance CSV command line toolkit.,https://crates.io/crates/xsv
